file,norm_bitrate,complexity,framerate,width,height,size,duration,complexity_class
10s-video.avi,3.4317034183706276,3.894616344148218,60.0,3840,2160,13662682,8.0,2
10s-audiovisual.avi,1.5538068857703191,1.3919784851880614,60.0,3840,2160,6186190,8.0,0
BigBuckBunny_8s_100000-108000.avi,1.5538068857703191,1.3919784851880614,60.0,3840,2160,6186190,8.0,0
BigBuckBunny_8s_109000-117000.avi,1.881027661233282,1.9956013241038533,60.0,3840,2160,7488958,8.0,0
BigBuckBunny_8s_117000-125000.avi,3.4317034183706276,3.894616344148218,60.0,3840,2160,13662682,8.0,2
BigBuckBunny_8s_132000-140000.avi,2.099554116833848,2.3427423507596923,60.0,3840,2160,8358980,8.0,0
BigBuckBunny_8s_145000-153000.avi,2.2195864076967595,2.5183422299470815,60.0,3840,2160,8836866,8.0,0
BigBuckBunny_8s_216000-224000.avi,2.7388468926826133,3.182310945127914,60.0,3840,2160,10904204,8.0,1
BigBuckBunny_8s_231000-239000.avi,2.2472893357767494,2.557519933867722,60.0,3840,2160,8947160,8.0,0
BigBuckBunny_8s_238300-246300.avi,1.4967588573816875,1.2738315407505845,60.0,3840,2160,5959064,8.0,0
BigBuckBunny_8s_272000-280000.avi,3.7633729785558128,4.186016453099217,60.0,3840,2160,14983162,8.0,2
BigBuckBunny_8s_28000-36000.avi,6.125959482703189,5.72490269121538,60.0,3840,2160,24389356,8.0,3
BigBuckBunny_8s_304500-312500.avi,4.5064822852366255,4.755183041565819,60.0,3840,2160,17941712,8.0,2
BigBuckBunny_8s_330600-338600.avi,3.4059686856995888,3.8708410964645243,60.0,3840,2160,13560224,8.0,1
BigBuckBunny_8s_345000-353000.avi,3.637377326871142,4.078460766194008,60.0,3840,2160,14481534,8.0,2
BigBuckBunny_8s_350000-358000.avi,4.41295482494213,4.6889416846024154,60.0,3840,2160,17569350,8.0,2
BigBuckBunny_8s_358000-366000.avi,4.826506438078704,4.971875562415128,60.0,3840,2160,19215828,8.0,2
BigBuckBunny_8s_366000-374000.avi,3.9841037326388893,4.366040999738579,60.0,3840,2160,15861960,8.0,2
BigBuckBunny_8s_385600-393600.avi,1.050538616415895,0.15572379002575876,60.0,3840,2160,4182522,8.0,0
BigBuckBunny_8s_41000-49000.avi,2.0481303650655867,2.264418882616815,60.0,3840,2160,8154246,8.0,0
BigBuckBunny_8s_448100-456100.avi,2.158358852559157,2.429990203044493,60.0,3840,2160,8593100,8.0,0
BigBuckBunny_8s_456500-464500.avi,2.234466929494599,2.5394467738826743,60.0,3840,2160,8896110,8.0,0
BigBuckBunny_8s_467000-475000.avi,6.508250546553498,5.916103734666859,60.0,3840,2160,25911376,8.0,3
BigBuckBunny_8s_477200-484500.avi,2.1862316083206497,2.4705175927170204,60.0,3840,2160,7942464,7.3,0
BigBuckBunny_8s_5000-13000.avi,4.805230537069187,4.9579216606295695,60.0,3840,2160,19131122,8.0,2
BigBuckBunny_8s_50000-58000.avi,3.0002893518518516,3.4702773866952326,60.0,3840,2160,11945088,8.0,1
BigBuckBunny_8s_618700-626700.avi,1.0383732799639918,0.11893457510797843,60.0,3840,2160,4134088,8.0,0
BigBuckBunny_8s_626700-634200.avi,1.6443212019890263,1.5708120483669106,60.0,3840,2160,6137396,7.5,0
BigBuckBunny_8s_65700-73700.avi,2.704140243216307,3.1420306284361077,60.0,3840,2160,10766026,8.0,1
BigBuckBunny_8s_81000-89000.avi,3.853972760738169,4.261153751319884,60.0,3840,2160,15343868,8.0,2
BigBuckBunny_8s_90000-98000.avi,1.239768197016461,0.6788399380279736,60.0,3840,2160,4935904,8.0,0
Sintel_8s_112000-120000.avi,7.044861091017233,6.166344976066284,24.0,3840,2160,11219116,8.0,1
Sintel_8s_123125-130958.avi,5.054710288642782,5.117791047253554,24.0,3840,2160,7882048,7.833333,0
Sintel_8s_142000-150000.avi,3.2122539002218367,3.685889927969858,24.0,3840,2160,5115594,8.0,0
Sintel_8s_152000-160000.avi,5.969445499373071,5.643156301623865,24.0,3840,2160,9506490,8.0,1
Sintel_8s_172000-180000.avi,8.392763491030093,6.719308980514501,24.0,3840,2160,13365684,8.0,2
Sintel_8s_182000-189750.avi,13.664394891643436,8.25883930428395,24.0,3840,2160,21080860,7.75,3
Sintel_8s_192000-200000.avi,10.407520184301056,7.39888917693477,24.0,3840,2160,16574234,8.0,2
Sintel_8s_203125-211708.avi,8.74730229755495,6.849993713051845,24.0,3840,2160,14946046,8.583333,2
Sintel_8s_222000-230000.avi,2.917942627957819,3.382376353632763,24.0,3840,2160,4646896,8.0,0
Sintel_8s_23000-31000.avi,3.328826025189686,3.7984807139508274,24.0,3840,2160,5301238,8.0,0
Sintel_8s_232000-240000.avi,7.356038662631817,6.302865477687791,24.0,3840,2160,11714674,8.0,1
Sintel_8s_242166-250166.avi,7.28887738514339,6.2738955964156755,24.0,3840,2160,11607718,8.0,1
Sintel_8s_252958-260957.avi,9.10297535083912,6.975879030867336,24.0,3840,2160,14496714,8.0,2
Sintel_8s_263250-271250.avi,7.520105181407536,6.372537563476388,24.0,3840,2160,11975954,8.0,1
Sintel_8s_273250-281250.avi,5.457867908870242,5.360167423135158,24.0,3840,2160,8691790,8.0,0
Sintel_8s_284000-292000.avi,9.10211884926376,6.975581832208857,24.0,3840,2160,14495350,8.0,2
Sintel_8s_292000-300000.avi,7.6141583478009265,6.41179566818179,24.0,3840,2160,12125736,8.0,1
Sintel_8s_302750-310750.avi,7.140085981706533,6.20875230276317,24.0,3840,2160,11370764,8.0,1
Sintel_8s_313000-321000.avi,7.161231021331663,6.218092249407577,24.0,3840,2160,11404438,8.0,1
Sintel_8s_33000-41000.avi,5.252239713943545,5.238869376090228,24.0,3840,2160,8364322,8.0,0
Sintel_8s_353332-361333.avi,7.102952494052212,6.192282982069682,24.0,3840,2160,11311628,8.0,1
Sintel_8s_363000-371000.avi,4.616435486593365,4.831321969411006,24.0,3840,2160,7351788,8.0,0
Sintel_8s_372500-380500.avi,8.165652428144291,6.632661019563815,24.0,3840,2160,13004004,8.0,2
Sintel_8s_383457-391457.avi,17.742300779240615,9.083708635782052,24.0,3840,2160,28255054,8.0,3
Sintel_8s_394000-402000.avi,7.715344841097608,6.453493395174447,24.0,3840,2160,12286878,8.0,1
Sintel_8s_402000-410000.avi,6.207660941920653,5.766749003915901,24.0,3840,2160,9885854,8.0,1
Sintel_8s_412000-420000.avi,4.696508336950232,4.885637073497467,24.0,3840,2160,7479306,8.0,0
Sintel_8s_422000-430000.avi,3.9155974211516207,4.31125842767465,24.0,3840,2160,6235686,8.0,0
